time,count
2023-01-16 10:11,1
2023-01-16 11:52,0
2023-01-16 15:10,1
2023-01-16 15:15,0
2023-01-16 15:27,1
2023-01-16 15:32,0
2023-01-16 16:08,1
2023-01-16 16:13,0
2023-01-16 16:17,1
2023-01-16 16:28,0
2023-01-16 16:58,1
2023-01-16 17:20,0
2023-01-16 17:20,1
2023-01-16 18:35,0
2023-01-16 18:36,1
2023-01-16 19:17,0
2023-01-16 19:24,1
2023-01-16 19:29,0
2023-01-16 19:35,1
2023-01-16 19:53,0
2023-01-16 19:57,1
2023-01-16 20:08,0
2023-01-16 20:14,1
2023-01-16 22:20,0
2023-01-16 22:21,1
2023-01-16 22:33,0
2023-01-16 22:33,1
2023-01-16 22:50,0
2023-01-16 23:03,1
2023-01-16 23:21,0
2023-01-16 23:22,1
2023-01-17 0:56,0
2023-01-17 0:58,1
2023-01-17 3:01,0
2023-01-17 3:23,1
2023-01-17 5:39,0
2023-01-17 5:40,1
2023-01-17 5:45,0
2023-01-17 5:59,1
2023-01-17 6:04,0
2023-01-17 7:13,1
2023-01-17 7:18,0
2023-01-17 7:47,1
2023-01-17 7:56,0
2023-01-17 8:08,1
2023-01-17 8:16,0
2023-01-17 8:20,1
2023-01-17 9:15,0
2023-01-17 9:27,1
2023-01-17 15:09,0
2023-01-17 15:13,1
2023-01-17 17:58,0
2023-01-17 18:09,1
2023-01-17 18:14,0
2023-01-17 18:35,1
2023-01-17 18:40,0
2023-01-17 19:05,1
2023-01-17 19:43,0
2023-01-17 20:49,1
2023-01-17 21:59,0
2023-01-17 22:03,1
2023-01-17 22:10,0
2023-01-17 22:30,1
2023-01-18 0:40,0
2023-01-18 0:47,1
2023-01-18 3:18,0
2023-01-18 3:41,1
2023-01-18 4:53,0
2023-01-18 4:54,1
2023-01-18 4:59,0
2023-01-18 5:33,1
2023-01-18 5:38,0
2023-01-18 5:39,1
2023-01-18 8:39,0
2023-01-18 9:24,1
2023-01-18 16:39,0
2023-01-19 2:00,1
2023-01-19 2:05,0
2023-01-19 2:26,1
2023-01-19 2:31,0
2023-01-19 10:16,1
2023-01-19 10:22,0
2023-01-19 11:51,1
2023-01-19 12:03,0
2023-01-19 12:29,1
2023-01-19 12:39,0
2023-01-19 12:42,1
2023-01-19 12:47,0
2023-01-19 15:11,1
2023-01-19 15:16,0
2023-01-19 16:15,1
2023-01-19 16:21,0
2023-01-19 16:55,1
2023-01-19 17:00,0
2023-01-19 17:18,1
2023-01-19 17:39,0
2023-01-19 17:51,1
2023-01-19 18:23,0
2023-01-19 18:28,1
2023-01-19 18:49,0
2023-01-19 19:10,1
2023-01-19 19:45,0
2023-01-19 19:53,1
2023-01-19 20:08,0
2023-01-19 20:09,1
2023-01-19 20:24,0
2023-01-19 20:27,1
2023-01-19 22:06,0
2023-01-19 22:09,1
2023-01-19 23:23,0
2023-01-19 23:42,1
2023-01-19 23:58,0
2023-01-19 23:59,1
2023-01-20 0:29,0
2023-01-20 0:29,1
2023-01-20 1:27,0
2023-01-20 1:27,1
2023-01-20 7:09,0
2023-01-20 7:21,1
2023-01-20 8:46,0
2023-01-20 8:49,1
2023-01-20 9:17,0
2023-01-20 9:22,1
2023-01-20 9:27,0
2023-01-20 10:01,1
2023-01-20 10:06,0
2023-01-20 12:07,1
2023-01-20 12:13,0
2023-01-20 12:13,1
2023-01-20 12:21,0
2023-01-20 12:22,1
2023-01-20 12:31,0
2023-01-20 12:32,1
2023-01-20 12:41,0
2023-01-20 12:49,1
2023-01-20 12:54,0
2023-01-20 12:57,1
2023-01-20 13:02,0
2023-01-20 13:07,1
2023-01-20 13:49,0
2023-01-20 13:54,1
2023-01-20 14:49,0
2023-01-20 15:19,1
2023-01-20 15:29,0
2023-01-20 15:31,1
2023-01-20 15:37,0
2023-01-20 15:44,1
2023-01-20 18:13,0
2023-01-20 18:18,1
2023-01-20 22:29,0
2023-01-22 23:56,1
2023-01-23 0:07,0
2023-01-23 0:08,1
2023-01-23 2:47,0
2023-01-23 3:15,1
2023-01-23 10:35,0
2023-01-23 11:00,1
2023-01-23 11:05,0
2023-01-23 11:52,1
2023-01-23 12:13,0
2023-01-23 12:15,1
2023-01-23 13:29,0
2023-01-23 13:31,1
2023-01-23 14:38,0
2023-01-23 14:39,1
2023-01-23 14:50,0
2023-01-23 14:59,1
2023-01-23 17:18,0
2023-01-23 17:19,1
2023-01-23 19:50,0
2023-01-23 19:56,1
2023-01-23 20:16,0
2023-01-23 20:42,1
2023-01-23 21:48,0
2023-01-23 21:51,1
2023-01-24 2:56,0
2023-01-24 3:06,1
2023-01-24 3:42,0
2023-01-24 4:11,1
2023-01-24 5:14,0
2023-01-24 5:36,1
2023-01-24 6:25,0
2023-01-24 6:27,1
2023-01-24 6:49,0
2023-01-24 6:54,1
2023-01-24 7:09,0
2023-01-24 7:11,1
2023-01-24 9:02,0
2023-01-24 9:19,1
2023-01-24 9:26,0
2023-01-24 10:30,1
2023-01-24 14:45,0
2023-01-24 14:58,1
2023-01-25 5:58,0
2023-01-25 6:05,1
2023-01-25 7:04,0
2023-01-25 8:48,1
2023-01-25 8:53,0
2023-01-25 9:08,1
2023-01-25 9:13,0
2023-01-25 9:28,1
2023-01-25 9:33,0
2023-01-25 10:16,1
2023-01-25 10:31,0
2023-01-25 10:31,1
2023-01-25 10:42,0
2023-01-25 12:44,1
2023-01-25 15:20,0
2023-01-26 3:50,1
2023-01-26 3:55,0
2023-01-26 5:27,1
2023-01-26 5:40,0
2023-01-26 7:25,1
2023-01-26 9:54,0
2023-01-26 9:57,1
2023-01-26 16:08,0
2023-01-26 16:44,1
2023-01-26 17:29,0
2023-01-26 18:06,1
2023-01-26 19:38,0
2023-01-26 19:43,1
2023-01-26 21:28,0
2023-01-26 21:54,1
2023-01-27 0:05,0
2023-01-27 0:45,1
2023-01-27 2:10,0
2023-01-27 3:54,1
2023-01-27 4:06,0
2023-01-27 4:16,1
2023-01-27 4:40,0
2023-01-27 4:46,1
2023-01-27 5:12,0
2023-01-27 5:27,1
2023-01-27 5:32,0
2023-01-27 5:59,1
2023-01-27 6:04,0
2023-01-27 6:24,1
2023-01-27 6:29,0
2023-01-27 7:10,1
2023-01-27 7:22,0
2023-01-27 7:25,1
2023-01-27 7:31,0
2023-01-27 12:12,1
2023-01-27 13:09,0
2023-01-27 13:10,1
2023-01-27 13:16,0
2023-01-27 13:17,1
2023-01-27 13:25,0
2023-01-28 3:32,1
2023-01-28 3:35,0
2023-01-30 0:45,1
2023-01-30 0:50,0
2023-01-30 0:53,1
2023-01-30 0:58,0
2023-01-30 1:03,1
2023-01-30 1:10,0
2023-01-30 1:50,1
2023-01-30 1:55,0
2023-01-30 3:55,1
2023-01-30 4:12,0
2023-01-30 4:12,1
2023-01-30 10:49,0
2023-01-30 10:59,1
2023-01-30 11:17,0
2023-01-30 11:28,1
2023-01-30 20:28,0
2023-01-30 22:10,1
2023-01-30 22:15,0
2023-01-30 22:46,1
2023-01-30 22:51,0
2023-01-30 22:53,1
2023-01-30 22:58,0
2023-01-30 23:01,1
2023-01-30 23:16,0
2023-01-30 23:20,1
2023-01-31 9:31,0
2023-01-31 12:49,1
2023-01-31 12:54,0
2023-01-31 13:14,1
2023-01-31 13:19,0
2023-01-31 13:40,1
2023-01-31 14:05,0
2023-01-31 17:30,1
2023-01-31 18:19,0
2023-01-31 18:34,1
2023-01-31 19:04,0
