data_source_id,attached_at,detached_at,display_name
2962,2023-01-19 05:04:09,2023-01-19 09:43:38,300556
2962,2023-01-19 08:07:31,2023-01-19 08:24:10,300595
2962,2023-01-21 00:23:19,2023-01-21 00:49:19,300238
2842,2023-01-23 03:36:39,2023-01-23 04:08:37,301182
2842,2023-01-23 05:33:59,2023-01-23 11:45:56,907397
2842,2023-01-23 17:22:59,2023-01-23 17:26:19,300272
2842,2023-01-24 15:49:26,2023-01-24 16:08:35,300272
2842,2023-01-31 13:16:00,2023-01-31 13:26:42,300272
2842,2023-01-23 19:45:19,2023-01-23 19:45:40,300982
2842,2023-01-23 19:47:00,2023-01-23 20:03:15,300982
2842,2023-01-31 22:12:15,2023-02-01 03:44:41,300982
2842,2023-01-23 20:04:02,2023-01-24 03:46:48,300524
2842,2023-01-24 03:37:09,2023-01-24 11:45:09,907437
2842,2023-01-24 11:45:33,2023-01-24 19:43:40,300987
2842,2023-01-24 19:42:24,2023-01-25 03:49:08,300920
2842,2023-01-26 13:47:26,2023-01-26 19:49:11,301068
2842,2023-01-26 19:42:00,2023-01-27 03:56:34,301333
2842,2023-01-27 08:21:19,2023-01-27 10:22:01,301230
2842,2023-01-27 08:21:34,2023-01-27 10:22:01,301178
2842,2023-01-27 09:06:06,2023-01-27 09:43:42,300372
2842,2023-01-30 05:41:07,2023-01-30 11:44:13,907424
2842,2023-01-31 03:54:14,2023-01-31 11:45:41,301224
2842,2023-01-31 21:56:19,2023-01-31 23:15:07,300637
