data_source_id,attached_at,detached_at,reason,Machine Status
2842,2023-01-24 00:59:53,2023-01-24 01:14:56,RUNNING,UPTIME
2842,2023-01-24 01:46:46,2023-01-24 02:47:14,RUNNING,UPTIME
2842,2023-01-24 02:54:20,2023-01-24 07:54:20,RUNNING,UPTIME
2842,2023-01-24 08:15:20,2023-01-24 10:44:05,RUNNING,UPTIME
2842,2023-01-24 10:48:27,2023-01-24 11:48:29,RUNNING,UPTIME
2842,2023-01-24 11:57:09,2023-01-24 14:00:39,RUNNING,UPTIME
2842,2023-01-24 15:32:59,2023-01-24 19:54:33,RUNNING,UPTIME
2842,2023-01-24 20:02:51,2023-01-25 10:59:02,RUNNING,UPTIME
2842,2023-01-25 11:08:34,2023-01-25 12:03:53,RUNNING,UPTIME
2842,2023-01-25 17:47:16,2023-01-25 20:17:17,RUNNING,UPTIME
2842,2023-01-26 12:40:56,2023-01-26 12:42:23,RUNNING,UPTIME
2842,2023-01-26 12:45:33,2023-01-26 14:53:30,RUNNING,UPTIME
2842,2023-01-26 15:01:10,2023-01-26 21:08:26,RUNNING,UPTIME
2842,2023-01-26 21:54:55,2023-01-26 22:26:56,RUNNING,UPTIME
2842,2023-01-26 23:10:21,2023-01-27 00:38:07,RUNNING,UPTIME
2842,2023-01-27 00:46:45,2023-01-27 02:27:58,RUNNING,UPTIME
2842,2023-01-27 02:56:38,2023-01-27 05:01:42,RUNNING,UPTIME
2842,2023-01-27 05:49:21,2023-01-27 07:07:33,RUNNING,UPTIME
2842,2023-01-27 08:58:45,2023-01-27 09:06:25,RUNNING,UPTIME
2842,2023-01-27 09:22:56,2023-01-27 09:41:54,RUNNING,UPTIME
2842,2023-01-27 09:48:10,2023-01-27 10:03:01,RUNNING,UPTIME
2842,2023-01-27 12:30:27,2023-01-27 15:56:51,RUNNING,UPTIME
2842,2023-01-27 16:58:52,2023-01-27 17:00:15,RUNNING,UPTIME
2842,2023-01-27 17:14:02,2023-01-27 18:08:49,RUNNING,UPTIME
2842,2023-01-27 18:12:44,2023-01-27 18:16:14,RUNNING,UPTIME
2842,2023-01-27 18:23:27,2023-01-27 20:37:36,RUNNING,UPTIME
2842,2023-01-27 20:43:31,2023-01-27 21:02:52,RUNNING,UPTIME
2842,2023-01-27 21:21:45,2023-01-27 22:22:23,RUNNING,UPTIME
2842,2023-01-30 09:17:38,2023-01-30 15:47:12,RUNNING,UPTIME
2842,2023-01-30 16:02:56,2023-01-30 16:15:13,RUNNING,UPTIME
2842,2023-01-30 16:30:23,2023-01-31 01:23:55,RUNNING,UPTIME
2842,2023-01-31 04:02:14,2023-01-31 04:14:25,RUNNING,UPTIME
2842,2023-01-31 04:20:24,2023-01-31 06:10:22,RUNNING,UPTIME
2842,2023-01-31 06:17:26,2023-01-31 14:28:56,RUNNING,UPTIME
2842,2023-01-31 22:31:48,2023-01-31 23:35:29,RUNNING,UPTIME
2842,2023-01-31 23:36:02,2023-02-01 05:24:02,RUNNING,UPTIME
2842,2023-01-03 15:57:48,2023-01-03 16:13:24,RESIN ISSUES,DOWNTIME
2842,2023-01-03 16:53:21,2023-01-03 16:57:05,RESIN ISSUES,DOWNTIME
2842,2023-01-04 00:12:38,2023-01-04 00:21:10,RESIN ISSUES,DOWNTIME
2842,2023-01-04 03:11:56,2023-01-04 03:17:46,RESIN ISSUES,DOWNTIME
2962,2023-01-06 01:14:26,2023-01-06 01:19:49,RESIN ISSUES,DOWNTIME
2842,2023-01-06 04:28:33,2023-01-06 05:57:14,RESIN ISSUES,DOWNTIME
2842,2023-01-06 13:42:28,2023-01-06 15:46:26,RESIN ISSUES,DOWNTIME
2962,2023-01-06 15:20:58,2023-01-06 15:55:01,RESIN ISSUES,DOWNTIME
2842,2023-01-17 08:11:34,2023-01-17 08:25:33,RESIN ISSUES,DOWNTIME
2842,2023-01-17 08:26:44,2023-01-17 08:32:34,RESIN ISSUES,DOWNTIME
2842,2023-01-17 13:03:56,2023-01-17 13:11:08,RESIN ISSUES,DOWNTIME
2842,2023-01-17 14:21:03,2023-01-17 14:32:31,RESIN ISSUES,DOWNTIME
2842,2023-01-20 04:24:11,2023-01-20 04:46:50,RESIN ISSUES,DOWNTIME
2842,2023-01-20 04:57:42,2023-01-20 05:02:36,RESIN ISSUES,DOWNTIME
2842,2023-01-20 05:31:44,2023-01-20 05:33:53,RESIN ISSUES,DOWNTIME
2842,2023-01-23 18:29:06,2023-01-23 18:35:38,RESIN ISSUES,DOWNTIME
2842,2023-01-23 19:53:58,2023-01-23 20:03:03,RESIN ISSUES,DOWNTIME
2842,2023-01-24 01:22:47,2023-01-24 01:46:46,RESIN ISSUES,DOWNTIME
2842,2023-01-24 19:55:11,2023-01-24 20:02:51,RESIN ISSUES,DOWNTIME
2842,2023-01-03 16:57:05,2023-01-03 17:05:34,MAINT. REPAIR,DOWNTIME
2842,2023-01-04 03:17:46,2023-01-04 06:38:17,NO RESIN(IN PLANT),DOWNTIME
2842,2023-01-04 20:41:24,2023-01-04 20:43:07,NO RESIN(IN PLANT),DOWNTIME
2842,2023-01-05 04:03:21,,NO RESIN(IN PLANT),DOWNTIME
2842,2023-01-12 00:10:17,2023-01-12 01:59:48,NO RESIN(IN PLANT),DOWNTIME
2842,2023-01-04 06:38:15,2023-01-04 07:34:28,MOLD CHANGE,DOWNTIME
2842,2023-01-11 16:05:13,2023-01-11 16:25:09,MOLD CHANGE,DOWNTIME
2842,2023-01-11 18:21:41,2023-01-11 19:16:19,MOLD CHANGE,DOWNTIME
2842,2023-01-12 18:45:33,2023-01-12 20:13:57,MOLD CHANGE,DOWNTIME
2842,2023-01-16 20:05:30,2023-01-16 20:43:33,MOLD CHANGE,DOWNTIME
2842,2023-01-17 10:36:48,2023-01-17 11:18:40,MOLD CHANGE,DOWNTIME
2842,2023-01-17 22:55:56,2023-01-17 23:48:59,MOLD CHANGE,DOWNTIME
2842,2023-01-19 20:10:56,2023-01-19 22:09:19,MOLD CHANGE,DOWNTIME
2842,2023-01-20 14:17:19,2023-01-20 15:21:35,MOLD CHANGE,DOWNTIME
2842,2023-01-23 15:31:57,2023-01-23 16:15:46,MOLD CHANGE,DOWNTIME
2842,2023-01-25 12:03:50,2023-01-25 14:41:59,MOLD CHANGE,DOWNTIME
2842,2023-01-27 10:03:01,2023-01-27 11:13:42,MOLD CHANGE,DOWNTIME
2842,2023-01-31 01:23:55,2023-01-31 02:07:53,MOLD CHANGE,DOWNTIME
2842,2023-01-31 17:49:48,2023-01-31 18:32:48,MOLD CHANGE,DOWNTIME
2962,2023-01-04 07:08:15,2023-01-04 07:21:43,DOWN(CATCH UP),DOWNTIME
2842,2023-01-04 12:26:08,2023-01-04 12:47:06,DOWN(CATCH UP),DOWNTIME
2842,2023-01-09 06:57:22,2023-01-09 07:40:14,DOWN(CATCH UP),DOWNTIME
2842,2023-01-10 22:37:19,2023-01-10 22:48:29,DOWN(CATCH UP),DOWNTIME
2962,2023-01-12 15:40:45,2023-01-12 23:38:35,DOWN(CATCH UP),DOWNTIME
2842,2023-01-13 07:20:35,2023-01-13 07:42:48,DOWN(CATCH UP),DOWNTIME
2842,2023-01-13 13:39:20,2023-01-13 13:49:54,DOWN(CATCH UP),DOWNTIME
2842,2023-01-16 07:36:12,2023-01-16 07:53:11,DOWN(CATCH UP),DOWNTIME
2842,2023-01-16 10:21:15,2023-01-16 10:43:26,DOWN(CATCH UP),DOWNTIME
2842,2023-01-16 15:10:10,2023-01-16 15:14:11,DOWN(CATCH UP),DOWNTIME
2842,2023-01-16 16:49:44,2023-01-16 17:41:36,DOWN(CATCH UP),DOWNTIME
2842,2023-01-18 05:40:58,2023-01-18 05:49:42,DOWN(CATCH UP),DOWNTIME
2842,2023-01-18 08:18:01,2023-01-18 08:38:08,DOWN(CATCH UP),DOWNTIME
2842,2023-01-26 21:08:26,2023-01-26 21:54:55,DOWN(CATCH UP),DOWNTIME
2842,2023-01-26 22:26:56,2023-01-26 23:10:21,DOWN(CATCH UP),DOWNTIME
2842,2023-01-27 02:27:58,2023-01-27 02:29:59,DOWN(CATCH UP),DOWNTIME
2842,2023-01-27 02:31:56,2023-01-27 02:56:38,DOWN(CATCH UP),DOWNTIME
2842,2023-01-27 05:01:42,2023-01-27 05:49:21,DOWN(CATCH UP),DOWNTIME
2842,2023-01-27 07:07:42,2023-01-27 07:49:58,DOWN(CATCH UP),DOWNTIME
2842,2023-01-04 13:24:39,2023-01-04 13:29:10,CLEAN MOLD,DOWNTIME
2842,2023-01-04 17:47:27,2023-01-04 17:53:32,CLEAN MOLD,DOWNTIME
2842,2023-01-23 22:17:30,2023-01-23 22:22:06,CLEAN MOLD,DOWNTIME
2842,2023-01-24 02:47:14,2023-01-24 02:54:20,CLEAN MOLD,DOWNTIME
2842,2023-01-04 18:17:04,2023-01-04 18:42:38,AUX. EQ.,DOWNTIME
2842,2023-01-04 19:22:26,2023-01-04 20:12:32,AUX. EQ.,DOWNTIME
2842,2023-01-12 21:20:45,2023-01-12 22:21:58,AUX. EQ.,DOWNTIME
2842,2023-01-13 13:49:52,2023-01-13 14:27:40,AUX. EQ.,DOWNTIME
2842,2023-01-18 00:47:56,2023-01-18 01:52:30,AUX. EQ.,DOWNTIME
2842,2023-01-27 02:29:56,2023-01-27 02:31:52,AUX. EQ.,DOWNTIME
2842,2023-01-31 21:56:03,2023-01-31 22:31:48,AUX. EQ.,DOWNTIME
2842,2023-01-31 23:35:29,2023-01-31 23:36:02,AUX. EQ.,DOWNTIME
2962,2023-01-06 18:29:55,2023-01-06 19:43:20,NO OPERATOR,DOWNTIME
2962,2023-01-12 03:51:49,2023-01-12 11:43:42,NO OPERATOR,DOWNTIME
2842,2023-01-13 16:41:58,2023-01-13 20:00:56,NO OPERATOR,DOWNTIME
2842,2023-01-16 17:43:40,2023-01-16 19:58:09,NO OPERATOR,DOWNTIME
2842,2023-01-16 21:26:12,2023-01-16 22:00:42,NO OPERATOR,DOWNTIME
2842,2023-01-17 13:14:18,2023-01-17 13:20:41,NO OPERATOR,DOWNTIME
2842,2023-01-18 21:39:54,2023-01-18 21:48:57,NO OPERATOR,DOWNTIME
2962,2023-01-18 23:18:12,2023-01-19 05:04:25,NO OPERATOR,DOWNTIME
2842,2023-01-23 17:08:08,2023-01-23 17:17:42,NO OPERATOR,DOWNTIME
2842,2023-01-25 15:38:17,2023-01-25 17:33:13,NO OPERATOR,DOWNTIME
2842,2023-01-27 07:50:29,2023-01-27 08:21:08,NO OPERATOR,DOWNTIME
2842,2023-01-31 19:02:08,2023-01-31 21:56:03,NO OPERATOR,DOWNTIME
2842,2023-01-07 00:24:17,2023-01-07 01:10:57,PROCESSING(TECH),DOWNTIME
2842,2023-01-12 04:08:34,2023-01-12 04:11:05,PROCESSING(TECH),DOWNTIME
2842,2023-01-12 04:18:33,2023-01-12 04:50:02,PROCESSING(TECH),DOWNTIME
2842,2023-01-12 13:12:40,2023-01-12 13:17:11,PROCESSING(TECH),DOWNTIME
2842,2023-01-12 18:10:23,2023-01-12 18:15:22,PROCESSING(TECH),DOWNTIME
2842,2023-01-16 22:18:16,2023-01-16 22:25:13,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 03:13:21,2023-01-17 03:39:02,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 03:48:53,2023-01-17 04:08:19,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 04:19:49,2023-01-17 04:25:32,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 05:55:43,2023-01-17 06:02:15,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 06:05:40,2023-01-17 06:09:52,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 07:59:33,2023-01-17 08:14:04,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 14:14:11,2023-01-17 14:21:03,PROCESSING(TECH),DOWNTIME
2842,2023-01-17 20:08:21,2023-01-17 20:16:19,PROCESSING(TECH),DOWNTIME
2842,2023-01-18 02:59:43,2023-01-18 03:05:50,PROCESSING(TECH),DOWNTIME
2842,2023-01-18 03:08:48,2023-01-18 03:34:32,PROCESSING(TECH),DOWNTIME
2962,2023-01-18 09:19:26,2023-01-18 09:23:30,PROCESSING(TECH),DOWNTIME
2842,2023-01-18 10:07:23,2023-01-18 10:35:00,PROCESSING(TECH),DOWNTIME
2842,2023-01-18 10:37:07,2023-01-18 10:41:27,PROCESSING(TECH),DOWNTIME
2962,2023-01-18 11:32:33,2023-01-18 11:57:48,PROCESSING(TECH),DOWNTIME
